herbste,furcht
furcht,vor
vor,dem
dem,sterbenmüssen.
sterbenmüssen.,seufzend
seufzend,hatte
hatte,er
er,von
von,ihr
ihr,abschied
abschied,genommen
genommen,die
die,seele
seele,voll
voll,unlust
unlust,und
und,voll
voll,verheimlichter
verheimlichter,bangigkeit.
bangigkeit.,dann
dann,hatte
hatte,siddhartha
siddhartha,die
die,nacht
nacht,in
in,seinem
seinem,hause
hause,mit
mit,tänzerinnen
tänzerinnen,beim
beim,weine
weine,zugebracht
zugebracht,hatte
hatte,gegen
gegen,seine
seine,standesgenossen
standesgenossen,den
den,überlegenen
überlegenen,gespielt
gespielt,welcher
welcher,er
er,nicht
nicht,mehr
mehr,war
war,hatte
hatte,viel
viel,wein
wein,getrunken
getrunken,und
und,spät
spät,nach
nach,mitternacht
mitternacht,sein
sein,lager
lager,aufgesucht
aufgesucht,müde
müde,und
und,dennoch
dennoch,erregt
erregt,dem
dem,weinen
weinen,und
und,der
der,verzweiflung
verzweiflung,nahe
nahe,und
und,hatte
hatte,lang
lang,vergeblich
vergeblich,den
den,schlaf
schlaf,gesucht
gesucht,das
das,herz
herz,voll
voll,eines
eines,elendes
elendes,das
das,er
er,nicht
nicht,mehr
mehr,ertragen
ertragen,zu
zu,können
können,meinte
meinte,voll
voll,eines
eines,ekels
ekels,von
von,dem
dem,er
er,sich
sich,durchdrungen
durchdrungen,fühlte
fühlte,wie
wie,vom
vom,lauen
lauen,widerlichen
widerlichen,geschmack
geschmack,des
des,weines
weines,der
der,allzu
allzu,süßen
süßen,öden
öden,musik
musik,dem
dem,allzu
allzu,weichen
weichen,lächeln
lächeln,der
der,tänzerinnen
tänzerinnen,dem
dem,allzu
allzu,süßen
süßen,duft
duft,ihrer
ihrer,haare
haare,und
und,brüste.
brüste.,mehr
mehr,aber
aber,als
als,vor
vor,allem
allem,anderen
anderen,ekelte
ekelte,ihm
ihm,vor
vor,sich
sich,selbst
selbst,vor
vor,seinen
seinen,duftenden
duftenden,haaren
haaren,vor
vor,dem
dem,weingeruch
weingeruch,seines
seines,mundes
mundes,vor
vor,der
der,schlaffen
schlaffen,müdigkeit
müdigkeit,und
und,unlust
unlust,seiner
seiner,haut.
haut.,wie
wie,wenn
wenn,einer
einer,der
der,allzuviel
allzuviel,gegessen
gegessen,oder
oder,getrunken
getrunken,hat
hat,es
es,unter
unter,qualen
qualen,wieder
wieder,erbricht
erbricht,und
und,doch
doch,der
der,erleichterung
erleichterung,froh
froh,ist
ist,so
so,wünschte
wünschte,sich
sich,der
der,schlaflose
schlaflose,in
in,einem
einem,ungeheuren
ungeheuren,schwall
schwall,von
von,ekel
ekel,sich
sich,dieser
dieser,genüsse
genüsse,dieser
dieser,gewohnheiten
gewohnheiten,dieses
dieses,ganzen
ganzen,sinnlosen
sinnlosen,lebens
lebens,und
und,seiner
seiner,selbst
selbst,zu
zu,entledigen.
entledigen.,erst
erst,beim
beim,schein
schein,des
des,morgens
morgens,und
und,dem
dem,erwachen
erwachen,der
der,ersten
ersten,geschäftigkeit
geschäftigkeit,auf
auf,der
der,straße
straße,vor
vor,seinem
seinem,stadthause
stadthause,war
war,er
er,eingeschlummert
eingeschlummert,hatte
hatte,für
für,wenige
wenige,augenblicke
augenblicke,eine
eine,halbe
halbe,betäubung
betäubung,eine
eine,ahnung
ahnung,von
von,schlaf
schlaf,gefunden.
gefunden.,in
in,diesen
diesen,augenblicken
augenblicken,hatte
hatte,er
er,einen
einen,traum:
traum:,kamala
kamala,besaß
besaß,in
in,einem
einem,goldenen
goldenen,käfig
käfig,einen
einen,kleinen
kleinen,seltenen
seltenen,singvogel.
singvogel.,von
von,diesem
diesem,vogel
vogel,träumte
träumte,er.
er.,er
er,träumte:
träumte:,dieser
dieser,vogel
vogel,war
war,stumm
stumm,geworden
geworden,der
der,sonst
sonst,stets
stets,in
in,der
der,morgenstunde
morgenstunde,sang
sang,und
und,da
da,dies
dies,ihm
ihm,auffiel
auffiel,trat
trat,er
er,vor
vor,den
den,käfig
käfig,und
und,blickte
blickte,hinein
hinein,da
da,war
war,der
der,kleine
kleine,vogel
vogel,tot
tot,und
und,lag
lag,steif
steif,am
am,boden.
boden.,er
er,nahm
nahm,ihn
ihn,heraus
heraus,wog
wog,ihn
ihn,einen
einen,augenblick
augenblick,in
in,der
der,hand
hand,und
und,warf
warf,ihn
ihn,dann
dann,weg
weg,auf
auf,die
die,gasse
gasse,hinaus
hinaus,und
und,im
im,gleichen
gleichen,augenblick
augenblick,erschrak
erschrak,er
er,furchtbar
furchtbar,und
und,das
das,herz
herz,tat
tat,ihm
ihm,weh
weh,so
so,als
als,habe
habe,er
er,mit
mit,diesem
diesem,toten
toten,vogel
vogel,allen
allen,wert
wert,und
und,alles
alles,gute
gute,von
von,sich
sich,geworfen.
geworfen.,aus
aus,diesem
diesem,traum
traum,auffahrend
auffahrend,fühlte
fühlte,er
er,sich
sich,von
von,tiefer
tiefer,traurigkeit
traurigkeit,umfangen.
umfangen.,wertlos
wertlos,so
so,schien
schien,ihm
ihm,wertlos
wertlos,und
und,sinnlos
sinnlos,hatte
hatte,er
er,sein
sein,leben
leben,dahingeführt;
dahingeführt;,nichts
nichts,lebendiges
lebendiges,nichts
nichts,irgendwie
irgendwie,köstliches
köstliches,oder
oder,behaltenswertes
behaltenswertes,war
war,ihm
ihm,in
in,händen
händen,geblieben.
geblieben.,allein
allein,stand
stand,er
er,und
und,leer
leer,wie
wie,ein
ein,schiffbrüchiger
schiffbrüchiger,am
am,ufer.
ufer.,finster
finster,begab
begab,sich
sich,siddhartha
siddhartha,in
in,einen
einen,lustgarten
lustgarten,der
der,ihm
ihm,gehörte
gehörte,verschloß
verschloß,die
die,pforte
pforte,setzte
setzte,sich
sich,unter
unter,einem
einem,mangobaum
mangobaum,nieder
nieder,fühlte
fühlte,den
den,tod
tod,im
im,herzen
herzen,und
und,das
das,grauen
grauen,in
in,der
der,brust
brust,saß
saß,und
und,spürte
spürte,wie
wie,es
es,in
in,ihm
ihm,starb
starb,in
in,ihm
ihm,welkte
welkte,in
in,ihm
ihm,zu
zu,ende
ende,ging.
ging.,allmählich
allmählich,sammelte
sammelte,er
er,seine
seine,gedanken
gedanken,und
und,ging
ging,im
im,geiste
geiste,nochmals
nochmals,den
den,ganzen
ganzen,weg
weg,seines
seines,lebens
lebens,von
von,den
den,ersten
ersten,tagen
tagen,an
an,auf
auf,welche
welche,er
er,sich
sich,besinnen
besinnen,konnte.
konnte.,wann
wann,denn
denn,hatte
hatte,er
er,ein
ein,glück
glück,erlebt
erlebt,eine
eine,wahre
wahre,wonne
wonne,gefühlt?
gefühlt?,o
o,ja
ja,mehrere
mehrere,male
male,hatte
hatte,er
er,solches
solches,erlebt.
erlebt.,in
in,den
den,knabenjahren
knabenjahren,hatte
hatte,er
er,es
es,gekostet
gekostet,wenn
wenn,er
er,von
von,den
den,brahmanen
brahmanen,lob
lob,errungen
errungen,hatte
hatte,er
er,es
es,in
in,seinem
seinem,herzen
herzen,gefühlt:
gefühlt:,"""ein"
"""ein",weg
weg,liegt
liegt,vor
vor,dem
dem,hersagen
hersagen,der
der,heiligen
heiligen,verse
verse,im
im,disput
disput,mit
mit,den
den,gelehrten
gelehrten,als
als,gehilfe
gehilfe,beim
beim,opfer
opfer,ausgezeichnet
ausgezeichnet,hatte.
hatte.,da
da,hatte
hatte,er
er,es
es,in
in,seinem
seinem,herzen
herzen,gefühlt:
gefühlt:,"""ein"
"""ein",weg
weg,liegt
liegt,vor
vor,dir
dir,zu
zu,dem
dem,du
du,berufen
berufen,bist
bist,auf
auf,dich
dich,warten
warten,die
die,götter.
götter.,und
und,wieder
wieder,als
als,jüngling
jüngling,da
da,ihn
ihn,das
das,immer
immer,höher
höher,emporfliehende
emporfliehende,ziel
ziel,alles
alles,nachdenkens
nachdenkens,aus
aus,der
der,schar
schar,gleichstrebender
gleichstrebender,heraus-
heraus-,und
und,hinangerissen
hinangerissen,hatte
hatte,da
da,er
er,in
in,schmerzen
schmerzen,um
um,den
den,sinn
sinn,des
des,brahman
brahman,rang
rang,da
da,jedes
jedes,erreichte
erreichte,wissen
wissen,nur
nur,neuen
neuen,durst
durst,in
in,ihm
ihm,entfachte
entfachte,da
da,wieder
wieder,hatte
hatte,er
er,mitten
mitten,im
im,durst
durst,mitten
mitten,im
im,schmerze
schmerze,dieses
dieses,selbe
selbe,gefühlt:
gefühlt:,"""weiter!"
"""weiter!",weiter!
weiter!,du
du,bist
bist,berufen!
berufen!,diese
diese,stimme
stimme,hatte
hatte,er
er,vernommen
vernommen,als
als,er
er,seine
seine,heimat
heimat,verlassen
verlassen,und
und,das
das,leben
leben,des
des,samana
samana,gewählt
gewählt,hatte
hatte,und
und,wieder
wieder,als
als,er
er,von
von,den
den,samanas
samanas,hinweg
hinweg,zu
zu,jenem
jenem,vollendeten
vollendeten,und
und,auch
auch,von
von,ihm
ihm,hinweg
hinweg,ins
ins,ungewisse
ungewisse,gegangen
gegangen,war.
war.,wie
wie,lange
lange,hatte
hatte,er
er,diese
diese,stimme
stimme,nicht
nicht,mehr
mehr,gehört
gehört,wie
wie,lange
lange,keine
keine,höhe
höhe,mehr
mehr,erreicht
erreicht,wie
wie,eben
eben,und
und,öde
öde,war
war,sein
sein,weg
weg,dahingegangen
dahingegangen,viele
viele,lange
lange,jahre
jahre,ohne
ohne,hohes
hohes,ziel
ziel,ohne
ohne,durst
durst,ohne
ohne,erhebung
erhebung,mit
mit,kleinen
kleinen,lüsten
lüsten,zufrieden
zufrieden,und
und,dennoch
dennoch,nie
nie,begnügt!
begnügt!,alle
alle,diese
diese,jahre
jahre,hatte
hatte,er
er,ohne
ohne,es
es,selbst
selbst,zu
zu,wissen
wissen,sich
sich,bemüht
bemüht,und
und,danach
danach,gesehnt
gesehnt,ein
ein,mensch
mensch,wie
wie,diese
diese,vielen
vielen,zu
zu,werden
werden,wie
wie,diese
diese,kinder
kinder,und
und,dabei
dabei,war
war,sein
sein,leben
leben,viel
viel,elender
elender,und
und,ärmer
ärmer,gewesen
gewesen,als
als,das
das,ihre
ihre,denn
denn,ihre
ihre,ziele
ziele,waren
waren,nicht
nicht,die
die,seinen
seinen,noch
noch,ihre
ihre,sorgen
sorgen,diese
diese,ganze
ganze,welt
welt,der
der,kamaswami-menschen
kamaswami-menschen,war
war,ihm
ihm,ja
ja,nur
nur,ein
ein,spiel
spiel,gewesen
gewesen,ein
ein,tanz
tanz,dem
dem,man
man,zusieht
zusieht,eine
eine,komödie.
komödie.,einzig
einzig,kamala
kamala,war
war,ihm
ihm,lieb
lieb,war
war,ihm
ihm,wertvoll
wertvoll,gewesen--aber
gewesen--aber,war
war,sie
sie,es
es,noch?
noch?,brauchte
brauchte,er
er,sie
sie,noch
noch,oder
oder,sie
sie,ihn?
ihn?,spielten
spielten,sie
sie,nicht
nicht,ein
ein,spiel
spiel,ohne
ohne,ende?
ende?,war
war,es
es,notwendig
notwendig,dafür
dafür,zu
zu,leben?
leben?,nein
nein,es
es,war
war,nicht
nicht,notwendig!
notwendig!,dieses
dieses,spiel
spiel,hieß
hieß,sansara
sansara,ein
ein,spiel
spiel,für
für,kinder
kinder,ein
ein,spiel
spiel,vielleicht
vielleicht,hold
hold,zu
zu,spielen
spielen,einmal
einmal,zweimal
zweimal,zehnmal--aber
zehnmal--aber,immer
immer,und
und,immer
immer,wieder?
wieder?,da
da,wußte
wußte,siddhartha
siddhartha,daß
daß,das
das,spiel
spiel,zu
zu,ende
ende,war
war,daß
daß,er
er,es
es,nicht
nicht,mehr
mehr,spielen
spielen,könne.
könne.,ein
ein,schauder
schauder,lief
lief,ihm
ihm,über
über,den
den,leib
leib,in
in,seinem
seinem,innern
innern,so
so,fühlte
fühlte,er
er,war
war,etwas
etwas,gestorben.
gestorben.,jenen
jenen,ganzen
ganzen,tag
tag,saß
saß,er
er,unter
unter,dem
dem,mangobaume
mangobaume,seines
seines,vaters
vaters,gedenkend
gedenkend,govindas
govindas,gedenkend
gedenkend,gotamas
gotamas,gedenkend.
gedenkend.,hatte
hatte,er
er,diese
diese,verlassen
verlassen,müssen
müssen,um
um,ein
ein,kamaswami
kamaswami,zu
zu,werden?
werden?,er
er,saß
saß,noch
noch,als
als,die
die,nacht
nacht,angebrochen
angebrochen,war.
war.,als
als,er
er,aufschauend
aufschauend,die
die,sterne
sterne,erblickte
erblickte,dachte
dachte,er:
er:,"""hier"
"""hier",sitze
sitze,ich
ich,unter
unter,meinem
meinem,mangobaume
mangobaume,in
in,meinem
meinem,lustgarten.
lustgarten.,er
er,lächelte
lächelte,ein
ein,wenig--war
wenig--war,es
es,denn
denn,notwendig
notwendig,war
war,es
es,richtig
richtig,war
war,es
es,nicht
nicht,ein
ein,törichtes
törichtes,spiel
spiel,daß
daß,er
er,einen
einen,mangobaum
mangobaum,daß
daß,er
er,einen
einen,garten
garten,besaß?
besaß?,auch
auch,damit
damit,schloß
schloß,er
er,ab
ab,auch
auch,das
das,starb
starb,in
in,ihm.
ihm.,er
er,erhob
erhob,sich
sich,nahm
nahm,abschied
abschied,vom
vom,mangobaum
mangobaum,abschied
abschied,vom
vom,lustgarten.
lustgarten.,da
da,er
er,den
den,tag
tag,ohne
ohne,speise
speise,geblieben
geblieben,war
war,fühlte
fühlte,er
er,heftigen
heftigen,hunger
hunger,und
und,gedachte
gedachte,an
an,sein
sein,haus
haus,in
in,der
der,stadt
stadt,an
an,sein
sein,gemach
gemach,und
und,bett
bett,an
an,den
den,tisch
tisch,mit
mit,den
den,speisen.
speisen.,er
er,lächelte
lächelte,müde
müde,schüttelte
schüttelte,sich
sich,und
und,nahm
nahm,abschied
abschied,von
von,diesen
diesen,dingen.
dingen.,in
in,derselben
derselben,nachtstunde
nachtstunde,verließ
verließ,siddhartha
siddhartha,seinen
seinen,garten
garten,verließ
verließ,die
die,stadt
stadt,und
und,kam
kam,niemals
niemals,wieder.
wieder.,lange
lange,ließ
ließ,kamaswami
kamaswami,nach
nach,ihm
ihm,suchen
suchen,der
der,ihn
ihn,in
in,räuberhand
räuberhand,gefallen
gefallen,glaubte.
glaubte.,kamala
kamala,ließ
ließ,nicht
nicht,nach
nach,ihm
ihm,suchen.
suchen.,als
als,sie
sie,erfuhr
erfuhr,daß
daß,siddhartha
siddhartha,verschwunden
verschwunden,sei
sei,wunderte
wunderte,sie
sie,sich
sich,nicht.
nicht.,hatte
hatte,sie
sie,es
es,nicht
nicht,immer
immer,erwartet?
erwartet?,war
war,er
er,nicht
nicht,ein
ein,samana
samana,ein
ein,heimloser
heimloser,ein
ein,pilger?
pilger?,und
und,am
am,meisten
meisten,hatte
hatte,sie
sie,dies
dies,beim
beim,letzten
letzten,zusammensein
zusammensein,gefühlt
gefühlt,und
und,sie
sie,freute
freute,sich
sich,mitten
mitten,im
im,schmerz
schmerz,des
des,verlustes
verlustes,daß
daß,sie
sie,ihn
ihn,dieses
dieses,letzte
letzte,mal
mal,noch
noch,so
so,innig
innig,an
an,ihr
ihr,herz
herz,gezogen
gezogen,sich
sich,noch
noch,einmal
einmal,so
so,ganz
ganz,von
von,ihm
ihm,besessen
besessen,und
und,durchdrungen
durchdrungen,gefühlt
gefühlt,hatte.
hatte.,als
als,sie
sie,die
die,erste
erste,nachricht
nachricht,von
von,siddharthas
siddharthas,verschwinden
verschwinden,bekam
bekam,trat
trat,sie
sie,ans
ans,fenster
fenster,wo
wo,sie
sie,in
in,einem
einem,goldenen
goldenen,käfig
käfig,einen
einen,seltenen
seltenen,singvogel
singvogel,gefangen
gefangen,hielt.
hielt.,sie
sie,öffnete
öffnete,die
die,tür
tür,des
des,käfigs
käfigs,nahm
nahm,den
den,vogel
vogel,heraus
heraus,und
und,ließ
ließ,ihn
ihn,fliegen.
fliegen.,lange
lange,sah
sah,sie
sie,ihm
ihm,nach
nach,dem
dem,fliegenden
fliegenden,vogel.
vogel.,sie
sie,empfing
empfing,von
von,diesem
diesem,tage
tage,an
an,keine
keine,besucher
besucher,mehr
mehr,und
und,hielt
hielt,ihr
ihr,haus
haus,verschlossen.
verschlossen.,nach
nach,einiger
einiger,zeit
zeit,aber
aber,ward
ward,sie
sie,inne
inne,daß
daß,sie
sie,von
von,dem
dem,letzten
letzten,zusammensein
zusammensein,mit
mit,siddhartha
siddhartha,schwanger
schwanger,sei.
sei.,am
am,flusse
flusse,siddhartha
siddhartha,wanderte
wanderte,im
im,walde
walde,schon
schon,fern
fern,von
von,der
der,stadt
stadt,und
und,wußte
wußte,nichts
nichts,als
als,das
das,eine
eine,daß
daß,er
er,nicht
nicht,mehr
mehr,zurück
zurück,konnte
konnte,daß
daß,dies
dies,leben
leben,wie
wie,er
er,es
es,nun
nun,viele
viele,jahre
jahre,lang
lang,geführt
geführt,vorüber
vorüber,und
und,dahin
dahin,und
und,bis
bis,zum
zum,ekel
ekel,ausgekostet
ausgekostet,und
und,ausgesogen
ausgesogen,war.
war.,tot
tot,war
war,der
der,singvogel
singvogel,von
von,dem
dem,er
er,geträumt.
geträumt.,tot
tot,war
war,der
der,vogel
vogel,in
in,seinem
seinem,herzen.
herzen.,tief
tief,war
war,er
er,in
in,sansara
sansara,verstrickt
verstrickt,ekel
ekel,und
und,tod
tod,hatte
hatte,er
er,von
von,allen
allen,seiten
seiten,in
in,sich
sich,eingesogen
eingesogen,wie
wie,ein
ein,schwamm
schwamm,wasser
wasser,einsaugt
einsaugt,bis
bis,er
er,voll
voll,ist.
ist.,voll
voll,war
war,er
er,von
von,überdruß
überdruß,voll
voll,von
von,elend
elend,voll
voll,von
von,tod
tod,nichts
nichts,mehr
mehr,gab
gab,es
es,in
in,der
der,welt
welt,das
das,ihn
ihn,locken
locken,das
das,ihn
ihn,freuen
freuen,das
das,ihn
ihn,trösten
trösten,konnte.
konnte.,sehnlich
sehnlich,wünschte
wünschte,er
er,nichts
nichts,mehr
mehr,von
von,sich
sich,zu
zu,wissen
wissen,ruhe
ruhe,zu
zu,haben
haben,tot
tot,zu
zu,sein.
sein.,käme
käme,doch
doch,ein
ein,blitz
blitz,und
und,erschlüge
erschlüge,ihn!
ihn!,käme
käme,doch
doch,ein
ein,tiger
tiger,und
und,fräße
fräße,ihn!
ihn!,gäbe
gäbe,es
es,doch
doch,einen
einen,wein
wein,ein
ein,gift
gift,das
das,ihm
ihm,betäubung
betäubung,brächte
brächte,vergessen
vergessen,und
und,schlaf
schlaf,und
und,kein
kein,erwachen
erwachen,mehr!
mehr!,gab
gab,es
es,denn
denn,noch
noch,irgendeinen
irgendeinen,schmutz
schmutz,mit
mit,dem
dem,er
er,sich
sich,nicht
nicht,beschmutzt
beschmutzt,hatte
hatte,eine
eine,sünde
sünde,und
und,torheit
torheit,die
die,er
er,nicht
nicht,begangen
begangen,eine
eine,seelenöde
seelenöde,die
die,er
er,nicht
nicht,auf
auf,sich
sich,geladen
geladen,hatte?
hatte?,war
war,es
es,denn
denn,noch
noch,möglich
möglich,zu
zu,leben?
leben?,war
war,es
es,möglich
möglich,nochmals
nochmals,und
und,nochmals
nochmals,wieder
wieder,atem
atem,zu
zu,ziehen
ziehen,atem
atem,auszustoßen
auszustoßen,hunger
hunger,zu
zu,fühlen
fühlen,wieder
wieder,zu
zu,essen
essen,wieder
wieder,zu
zu,schlafen
schlafen,wieder
wieder,beim
beim,weibe
weibe,zu
zu,liegen?
liegen?,war
war,dieser
dieser,kreislauf
kreislauf,nicht
nicht,für
für,ihn
ihn,erschöpft
erschöpft,und
und,abgeschlossen?
abgeschlossen?,siddhartha
siddhartha,gelangte
gelangte,an
an,den
den,großen
großen,fluß
fluß,im
im,walde
walde,an
an,denselben
denselben,fluß
fluß,über
über,welchen
welchen,ihn
ihn,einst
einst,als
als,er
er,noch
noch,ein
ein,junger
junger,mann
mann,war
war,und
und,von
von,der
der,stadt
stadt,des
des,gotama
gotama,kam
kam,ein
ein,fährmann
fährmann,geführt
geführt,hatte.
hatte.,an
an,diesem
diesem,flusse
flusse,machte
machte,er
er,halt
halt,blieb
blieb,zögernd
zögernd,beim
beim,ufer
ufer,stehen.
stehen.,müdigkeit
müdigkeit,und
und,hunger
hunger,hatten
hatten,ihn
ihn,geschwächt
geschwächt,und
und,wozu
wozu,auch
auch,sollte
sollte,er
er,weitergehen
weitergehen,wohin
wohin,denn
denn,zu
zu,welchem
welchem,ziel?
ziel?,nein
nein,es
es,gab
gab,keine
keine,ziele
ziele,mehr
mehr,es
es,gab
gab,nichts
nichts,mehr
mehr,als
als,die
die,tiefe
tiefe,leidvolle
leidvolle,sehnsucht
sehnsucht,diesen
diesen,ganzen
ganzen,wüsten
wüsten,traum
traum,von
von,sich
sich,zu
zu,schütteln
schütteln,diesen
diesen,schalen
schalen,wein
wein,von
von,sich
sich,zu
zu,speien
speien,diesem
diesem,jämmerlichen
jämmerlichen,und
und,schmachvollen
schmachvollen,leben
leben,ein
ein,ende
ende,zu
zu,machen.
machen.,über
über,das
das,flußufer
flußufer,hing
hing,ein
ein,baum
baum,gebeugt
gebeugt,ein
ein,kokosbaum
kokosbaum,an
an,dessen
dessen,stamm
stamm,lehnte
lehnte,sich
sich,siddhartha
siddhartha,mit
mit,der
der,schulter
schulter,legte
legte,den
den,arm
arm,um
um,den
den,stamm
stamm,und
und,blickte
blickte,in
in,das
das,grüne
grüne,wasser
wasser,hinab
hinab,das
das,unter
unter,ihm
ihm,zog
zog,und
und,zog
zog,blickte
blickte,hinab
hinab,und
und,fand
fand,sich
sich,ganz
ganz,und
und,gar
gar,von
von,dem
dem,wunsche
wunsche,erfüllt
erfüllt,sich
sich,loszulassen
loszulassen,und
und,in
in,diesem
diesem,wasser
wasser,unterzugehen.
unterzugehen.,eine
eine,schauerliche
schauerliche,leere
leere,spiegelte
spiegelte,ihm
ihm,aus
aus,dem
dem,wasser
wasser,entgegen
entgegen,welcher
welcher,die
die,furchtbare
furchtbare,leere
leere,in
in,seiner
seiner,seele
seele,antwort
antwort,gab.
gab.,ja
ja,er
er,war
war,am
am,ende.
ende.,nichts
nichts,mehr
mehr,gab
gab,es
es,für
für,ihn
ihn,als
als,sich
sich,auszulöschen
auszulöschen,als
als,das
das,mißlungene
mißlungene,gebilde
gebilde,seines
seines,lebens
lebens,zu
zu,zerschlagen
zerschlagen,es
es,wegzuwerfen
wegzuwerfen,hohnlachenden
hohnlachenden,göttern
göttern,vor
vor,die
die,füße.
füße.,dies
dies,war
war,das
das,große
große,erbrechen
erbrechen,nach
nach,dem
dem,er
er,sich
sich,gesehnt
gesehnt,hatte:
hatte:,der
der,tod
tod,das
das,zerschlagen
zerschlagen,der
der,form
form,die
die,er
er,haßte!
haßte!,mochten
mochten,ihn
ihn,die
die,fische
fische,fressen
fressen,diesen
diesen,hund
hund,von
von,siddhartha
siddhartha,diesen
diesen,irrsinnigen
irrsinnigen,diesen
diesen,verdorbenen
verdorbenen,und
und,verfaulten
verfaulten,leib
leib,diese
diese,erschlaffte
erschlaffte,und
und,mißbrauchte
mißbrauchte,seele!
seele!,mochten
mochten,die
die,fische
fische,und
und,krokodile
krokodile,ihn
ihn,fressen
fressen,mochten
mochten,die
die,dämonen
dämonen,ihn
ihn,zerstücken!
zerstücken!,mit
mit,verzerrtem
verzerrtem,gesichte
gesichte,starrte
starrte,er
er,ins
ins,wasser
wasser,sah
sah,sein
sein,gesicht
gesicht,gespiegelt
gespiegelt,und
und,spie
spie,danach.
danach.,in
in,tiefer
tiefer,müdigkeit
müdigkeit,löste
löste,er
er,den
den,arm
arm,vom
vom,baumstamme
baumstamme,und
und,drehte
drehte,sich
sich,ein
ein,wenig
wenig,um
um,sich
sich,senkrecht
senkrecht,hinabfallen
hinabfallen,zu
zu,lassen
lassen,um
um,endlich
endlich,unterzugehen.
unterzugehen.,er
er,sank
sank,mit
mit,geschlossenen
geschlossenen,augen
augen,dem
dem,tod
tod,entgegen.
entgegen.,da
da,zuckte
zuckte,aus
aus,entlegenen
entlegenen,bezirken
bezirken,seiner
seiner,seele
seele,aus
aus,vergangenheiten
vergangenheiten,seines
seines,ermüdeten
ermüdeten,lebens
lebens,her
her,ein
ein,klang.
klang.,es
es,war
war,ein
ein,wort
wort,eine
eine,silbe
silbe,die
die,er
er,ohne
ohne,gedanken
gedanken,mit
mit,lallender
lallender,stimme
stimme,vor
vor,sich
sich,hinsprach
hinsprach,das
das,alte
alte,anfangswort
anfangswort,und
und,schlußwort
schlußwort,aller
aller,brahmanischen
brahmanischen,gebete
gebete,das
das,heilige
heilige,"""om"
"""om",das
das,so
so,viel
viel,bedeutet
bedeutet,wie
wie,"""das"
"""das",vollkommene
vollkommene,oder
oder,"""die"
"""die",vollendung.
vollendung.,und
und,im
im,augenblick
augenblick,da
da,der
der,klang
klang,"""om"
"""om",siddharthas
siddharthas,ohr
ohr,berührte
berührte,erwachte
erwachte,sein
sein,entschlummerter
entschlummerter,geist
geist,plötzlich
plötzlich,und
und,erkannte
erkannte,die
die,torheit
torheit,seines
seines,tuns.
tuns.,siddhartha
siddhartha,erschrak
erschrak,tief.
tief.,so
so,also
also,stand
stand,es
es,um
um,ihn
ihn,so
so,verloren
verloren,war
war,er
er,so
so,verirrt
verirrt,und
und,von
von,allem
allem,wissen
wissen,verlassen
verlassen,daß
daß,er
er,den
den,tod
tod,hatte
hatte,suchen
suchen,können
können,daß
daß,dieser
dieser,wunsch
wunsch,dieser
dieser,kinderwunsch
kinderwunsch,in
in,ihm
ihm,hatte
hatte,groß
groß,werden
werden,können:
können:,ruhe
ruhe,zu
zu,finden
finden,indem
indem,er
er,seinen
seinen,leib
leib,auslöschte!
auslöschte!,was
was,alle
alle,qual
qual,dieser
dieser,letzten
letzten,zeiten
zeiten,alle
alle,ernüchterung
ernüchterung,alle
alle,verzweiflung
verzweiflung,nicht
nicht,bewirkt
bewirkt,hatte
hatte,das
das,bewirkte
bewirkte,dieser
dieser,augenblick
augenblick,da
da,das
das,om
om,in
in,sein
sein,bewußtsein
bewußtsein,drang:
drang:,daß
daß,er
er,sich
sich,in
in,seinem
seinem,elend
elend,und
und,in
in,seiner
seiner,irrsal
irrsal,erkannte.
erkannte.,om!
om!,sprach
sprach,er
er,vor
vor,sich
sich,hin:
hin:,om!
om!,und
und,wußte
wußte,um
um,brahman
brahman,wußte
wußte,um
um,die
die,unzerstörbarkeit
unzerstörbarkeit,des
des,lebens
lebens,wußte
wußte,um
um,alles
alles,göttliche
göttliche,wieder
wieder,das
das,er
er,vergessen
vergessen,hatte.
hatte.,doch
doch,war
war,dies
dies,nur
nur,ein
ein,augenblick
augenblick,ein
ein,blitz.
blitz.,am
am,fuß
fuß,des
des,kokosbaumes
kokosbaumes,sank
sank,siddhartha
siddhartha,nieder
nieder,von
von,der
der,ermüdung
ermüdung,hingestreckt
hingestreckt,om
om,murmelnd
murmelnd,legte
legte,sein
sein,haupt
haupt,auf
auf,die
die,wurzel
wurzel,des
des,baumes
baumes,und
und,sank
sank,in
in,tiefen
tiefen,schlaf.
schlaf.,tief
tief,war
war,sein
sein,schlaf
schlaf,und
und,frei
frei,von
von,träumen
träumen,seit
seit,langer
langer,zeit
zeit,hatte
hatte,er
er,einen
einen,solchen
solchen,schlaf
schlaf,nicht
nicht,mehr
mehr,gekannt.
gekannt.,als
als,er
er,nach
nach,manchen
manchen,stunden
stunden,erwachte
erwachte,war
war,ihm
ihm,als
als,seien
seien,zehn
zehn,jahre
jahre,vergangen
vergangen,er
er,hörte
hörte,das
das,leise
leise,strömen
strömen,des
des,wassers
wassers,wußte
wußte,nicht
nicht,wo
wo,er
er,sei
sei,und
und,wer
wer,ihn
ihn,hierher
hierher,gebracht
gebracht,habe
habe,schlug
schlug,die
die,augen
augen,auf
auf,sah
sah,mit
mit,verwunderung
verwunderung,bäume
bäume,und
und,himmel
himmel,über
über,sich
sich,und
und,erinnerte
